Country,volume,speed,circuitousness
Brazil,1.8653367702333674,2.2994525213226353,0.06014730189544278
China,2.003385303769622,2.4333371225732625,0.06263108922486756
EU,1.9223546005863055,2.3116603021225566,0.05256646725629205
Norway,2.0279061265214473,2.4394910219163353,0.05802158168514923
Poland,1.9063316133392172,2.360219209895649,0.10434415270558722
USA,1.9383018218135089,2.3062737012137466,0.030645736802344965
